"STATE,C,2","CWA,C,9","TIME_ZONE,C,2","FE_AREA,C,2","ZONE,C,3","NAME,C,254","STATE_ZONE,C,5","LON,N,19,11","LAT,N,19,11","SHORTNAME,C,32"
AL,BMX,C,ec,019,Calhoun,AL019,-85.8261,33.7714,Calhoun
AL,MOB,C,sc,057,Butler,AL057,-86.6803,31.7524,Butler
AL,BMX,C,se,046,Bullock,AL046,-85.7161,32.1005,Bullock
AL,BMX,C,cc,017,Blount,AL017,-86.5674,33.9809,Blount
AL,BMX,C,cc,034,Bibb,AL034,-87.1264,32.9986,Bibb
AL,BMX,C,se,050,Barbour,AL050,-85.3932,31.8696,Barbour
AL,HUN,C,ne,009,Jackson,AL009,-85.9993,34.7794,Jackson
AL,BMX,C,ne,020,Cherokee,AL020,-85.6038,34.176,Cherokee
AL,BMX,C,cc,035,Chilton,AL035,-86.7188,32.8479,Chilton
AL,MOB,C,sw,051,Choctaw,AL051,-88.2628,32.0192,Choctaw
AL,BMX,C,ec,028,Clay,AL028,-85.8605,33.2691,Clay
AL,BMX,C,ec,021,Cleburne,AL021,-85.5188,33.6745,Cleburne
AL,TAE,C,se,065,Coffee,AL065,-85.9882,31.4026,Coffee
AL,HUN,C,nw,002,Colbert,AL002,-87.8049,34.7004,Colbert
AL,MOB,C,sc,056,Conecuh,AL056,-86.9936,31.4293,Conecuh
AL,BMX,C,ec,036,Coosa,AL036,-86.2476,32.9362,Coosa
AL,MOB,C,sc,060,Covington,AL060,-86.4512,31.2485,Covington
AL,MOB,C,sc,058,Crenshaw,AL058,-86.3136,31.7315,Crenshaw
AL,HUN,C,nc,016,Cullman,AL016,-86.8676,34.132,Cullman
AL,TAE,C,se,066,Dale,AL066,-85.611,31.4318,Dale
AL,BMX,C,sc,040,Dallas,AL040,-87.1065,32.3258,Dallas
AL,HUN,C,ne,010,DeKalb,AL010,-85.8041,34.4598,De Kalb
AL,BMX,C,ec,043,Elmore,AL043,-86.1492,32.5966,Elmore
AL,MOB,C,sc,059,Escambia,AL059,-87.1616,31.1262,Escambia
AL,BMX,C,ne,018,Etowah,AL018,-86.0348,34.0453,Etowah
AL,BMX,C,wc,013,Fayette,AL013,-87.7388,33.7212,Fayette
AL,HUN,C,nw,003,Franklin,AL003,-87.8438,34.4417,Franklin
AL,TAE,C,se,068,Geneva,AL068,-85.839,31.095,Geneva
AL,BMX,C,wc,031,Greene,AL031,-87.9522,32.8531,Greene
AL,BMX,C,wc,032,Hale,AL032,-87.6291,32.7627,Hale
AL,TAE,C,se,069,Houston,AL069,-85.3025,31.1532,Houston
AL,BMX,C,cc,024,Jefferson,AL024,-86.8965,33.5543,Jefferson
AL,BMX,C,wc,012,Lamar,AL012,-88.0969,33.7792,Lamar
AL,HUN,C,nw,001,Lauderdale,AL001,-87.6543,34.9015,Lauderdale
AL,HUN,C,nw,004,Lawrence,AL004,-87.311,34.522,Lawrence
AL,BMX,C,ec,047,Lee,AL047,-85.3556,32.6012,Lee
AL,HUN,C,nc,005,Limestone,AL005,-86.9813,34.8101,Limestone
AL,BMX,C,sc,042,Lowndes,AL042,-86.6501,32.1548,Lowndes
AL,BMX,C,se,045,Macon,AL045,-85.6926,32.386,Macon
AL,HUN,C,nc,006,Madison,AL006,-86.5502,34.7631,Madison
AL,BMX,C,sw,039,Marengo,AL039,-87.7895,32.2476,Marengo
AL,BMX,C,nw,011,Marion,AL011,-87.8871,34.1366,Marion
AL,HUN,C,ne,008,Marshall,AL008,-86.3066,34.3669,Marshall
AL,MOB,C,sc,055,Monroe,AL055,-87.3658,31.5706,Monroe
AL,BMX,C,sc,044,Montgomery,AL044,-86.2076,32.2202,Montgomery
AL,HUN,C,nc,007,Morgan,AL007,-86.8529,34.4535,Morgan
AL,BMX,C,cc,033,Perry,AL033,-87.2942,32.6385,Perry
AL,BMX,C,wc,022,Pickens,AL022,-88.0887,33.2809,Pickens
AL,BMX,C,se,049,Pike,AL049,-85.9409,31.8024,Pike
AL,BMX,C,ec,029,Randolph,AL029,-85.4591,33.2938,Randolph
AL,BMX,C,se,048,Russell,AL048,-85.1849,32.2884,Russell
AL,BMX,C,cc,026,St. Clair,AL026,-86.3147,33.7157,St. Clair
AL,BMX,C,cc,025,Shelby,AL025,-86.6607,33.2643,Shelby
